BI	TOTAL	ABU	JOC	MON	OUV	PER
_ 	8	0	0	0	0	 8
__	216	0	0	0	0	 216
_f	1	0	0	0	0	 1
` 	2	0	0	0	0	 2
`)	3	0	0	0	0	 3
`*	2	0	0	0	0	 2
`,	1	0	0	0	0	 1
`>	1	0	0	0	0	 1
`E	2	0	0	0	0	 2
`L	1	0	0	0	0	 1
`O	1	0	0	0	0	 1
`[	3	0	0	0	0	 3
`a	13	0	0	0	0	 13
`c	31	0	0	0	0	 31
`d	7	0	0	0	0	 7
`e	6	0	0	0	0	 6
`f	6	0	0	0	0	 6
`h	4	0	0	0	0	 4
`i	4	0	0	0	0	 4
`j	2	0	0	0	0	 2
`l	31	0	0	0	0	 31
`m	4	0	0	0	0	 4
`n	12	0	0	0	0	 12
`o	4	0	0	0	0	 4
`p	19	0	0	0	0	 19
`q	2	0	0	0	0	 2
`r	17	0	0	0	0	 17
`s	16	0	0	0	0	 16
`t	5	0	0	0	0	 5
`u	6	0	0	0	0	 6
`v	4	0	0	0	0	 4
`z	2	0	0	0	0	 2
`«	2	0	0	0	0	 2
`É	1	0	0	0	0	 1
`é	3	0	0	0	0	 3
`ê	1	0	0	0	0	 1
a 	243969	 43509	 68953	 41335	 47796	 42376
a!	4	0	0	 1	0	 3
a"	24	0	0	 12	 2	 10
a'	57	0	 40	0	0	 17
a(	1	0	 1	0	0	0
a)	470	 3	 242	 33	 67	 125
a,	3940	 1287	 656	 1088	 353	 556
a-	2316	 410	 945	 479	 161	 321
a.	1553	 758	 182	 355	 89	 169
a/	10	0	 7	0	0	 3
a1	4	0	0	0	0	 4
a2	7	0	0	0	0	 7
a3	1	0	0	0	0	 1
a4	2	0	0	0	0	 2
a:	16	0	 13	 2	0	 1
a;	12	0	 9	 2	0	 1
a?	41	0	 40	 1	0	0
aA	4	0	0	0	0	 4
aB	4	0	0	0	0	 4
aC	3	0	0	0	0	 3
aI	4	0	0	0	 4	0
aL	1	0	0	0	0	 1
aN	1	0	0	0	 1	0
aO	3	0	0	0	0	 3
aR	1	0	0	0	0	 1
aY	1	0	0	0	0	 1
a[	2	0	0	 1	0	 1
a]	39	0	0	 4	 6	 29
aa	466	 29	 283	 77	 40	 37
ab	36535	 5558	 8880	 6563	 8198	 7336
ac	62294	 8152	 14672	 10797	 14680	 13993
ad	24298	 2919	 7149	 4603	 4813	 4814
ae	1024	 593	 114	 111	 61	 145
af	9343	 1495	 2423	 2195	 1872	 1358
ag	42386	 6619	 10064	 8336	 8209	 9158
ah	1246	 299	 177	 395	 153	 222
ai	227560	 66720	 41204	 44238	 41555	 33843
aj	3084	 489	 428	 928	 636	 603
ak	1298	 78	 393	 669	 24	 134
al	104500	 12272	 24531	 20256	 23605	 23836
am	35056	 7767	 8902	 7005	 5770	 5612
an	266424	 47407	 62407	 53299	 53934	 49377
ao	1121	 222	 219	 385	 148	 147
ap	40355	 6560	 9961	 6656	 9142	 8036
aq	5233	 1113	 1149	 968	 897	 1106
ar	169251	 29596	 38509	 31803	 36729	 32614
as	71482	 15692	 13649	 14276	 13654	 14211
at	171142	 13103	 53854	 26749	 37413	 40023
au	148284	 25076	 43092	 26460	 28844	 24812
av	53375	 13785	 10387	 11339	 9809	 8055
aw	275	 4	 94	 91	 19	 67
ax	2355	 436	 727	 259	 409	 524
ay	10305	 2257	 3415	 2176	 1191	 1266
az	1503	 319	 293	 447	 142	 302
a»	73	0	 49	0	0	 24
aÎ	1	0	0	0	0	 1
aß	1	0	 1	0	0	0
aà	1	0	0	0	0	 1
aâ	2	0	0	 1	0	 1
aæ	1	 1	0	0	0	0
aç	2109	 440	 361	 328	 334	 646
aè	11	 6	 4	0	0	 1
aé	820	 110	 330	 202	 64	 114
aë	359	 12	 24	 186	 102	 35
aí	2	0	 1	0	0	 1
aî	5992	 1589	 791	 426	 1663	 1523
aï	989	 189	 242	 141	 259	 158
añ	4	0	 3	0	0	 1
aô	15	 1	 4	 9	0	 1
aõ	1	0	0	0	0	 1
aú	1	0	0	0	0	 1
aü	14	 3	 1	 3	 7	0
b 	632	 123	 115	 128	 83	 183
b"	3	0	0	 1	0	 2
b'	2	0	0	0	0	 2
b)	289	 2	 142	 2	 57	 86
b,	255	 62	 26	 60	 36	 71
b-	22	0	 5	 1	0	 16
b.	160	 33	 30	 61	 18	 18
b2	2	0	0	0	0	 2
b3	1	0	0	0	0	 1
b:	1	0	 1	0	0	0
b?	5	0	 5	0	0	0
bH	1	0	0	 1	0	0
bS	1	0	0	0	0	 1
ba	19641	 5279	 3925	 4554	 2668	 3215
bb	499	 113	 18	 106	 187	 75
bc	44	 3	 28	 6	 1	 6
bd	257	 24	 26	 94	 44	 69
be	12743	 4357	 1624	 2924	 1687	 2151
bg	3	 1	0	 1	 1	0
bh	17	 1	0	 12	 3	 1
bi	24614	 4683	 4343	 4574	 6148	 4866
bj	9549	 235	 6510	 366	 1007	 1431
bk	4	0	 3	0	0	 1
bl	53928	 7877	 12599	 9016	 12927	 11509
bm	38	 9	 7	 13	 3	 6
bn	51	 19	0	 5	 8	 19
bo	19251	 6428	 2637	 3669	 2896	 3621
bp	2	0	0	 1	0	 1
br	27426	 5885	 10665	 4044	 3659	 3173
bs	6162	 1119	 1268	 790	 1326	 1659
bt	1568	 154	 374	 285	 278	 477
bu	9313	 1263	 2742	 1857	 1914	 1537
bv	488	 10	 345	 75	 26	 32
bw	27	0	 22	 2	 2	 1
by	482	 33	 57	 248	 20	 124
bz	8	0	0	0	0	 8
bœ	7	 2	0	0	 5	0
b»	7	0	 3	0	0	 4
bâ	542	 230	 97	 144	 34	 37
bè	118	 55	 10	 20	 11	 22
bé	4377	 669	 1093	 946	 943	 726
bê	397	 328	 8	 35	 20	 6
bí	1	0	 1	0	0	0
bî	69	 48	0	 7	 11	 3
bû	71	 58	0	 8	 4	 1
bü	7	0	 1	 6	0	0
c 	25005	 5202	 4173	 4858	 5962	 4810
c!	1	0	0	 1	0	0
c"	15	0	0	 8	0	 7
c'	6971	 2122	 269	 1368	 1554	 1658
c(	1	0	 1	0	0	0
c)	204	 2	 88	 17	 33	 64
c+	1	0	0	0	0	 1
c,	1967	 531	 189	 539	 356	 352
c-	173	 52	 2	 57	 20	 42
c.	3052	 344	 692	 988	 454	 574
c/	10	0	 4	0	0	 6
c1	17	0	0	0	0	 17
c:	2	0	 2	0	0	0
c;	8	0	 7	0	0	 1
c?	36	0	 32	 3	 1	0
cA	2	0	0	0	0	 2
cB	1	0	0	0	0	 1
cC	239	0	 5	 2	0	 232
cD	14	0	 2	 8	0	 4
cE	7	0	0	 7	0	0
cF	1	0	0	0	0	 1
cG	6	0	 4	 2	0	0
cK	2	0	0	 1	0	 1
cL	11	0	0	 6	0	 5
cM	4	0	 4	0	0	0
cN	1	0	0	 1	0	0
cP	3	0	 1	0	0	 2
cQ	1	0	0	0	0	 1
cR	2	0	0	0	0	 2
cS	6	0	 3	0	0	 3
cW	1	0	0	0	0	 1
cZ	5	0	0	0	0	 5
c[	1	0	0	0	0	 1
c]	21	 1	0	 1	 18	 1
c`	1	0	0	0	0	 1
ca	57823	 8039	 13736	 10101	 13038	 12909
cb	3	 3	0	0	0	0
cc	16385	 2028	 4484	 3286	 3753	 2834
cd	68	 18	0	 16	 11	 23
ce	173339	 25832	 40596	 28670	 40525	 37716
cf	190	 4	 2	 34	 2	 148
cg	4	0	0	0	0	 4
ch	85249	 20769	 14094	 16178	 17200	 17008
ci	80636	 7114	 17659	 13160	 24397	 18306
cj	1	0	0	0	0	 1
ck	2266	 326	 417	 573	 624	 326
cl	21317	 3011	 5449	 3279	 5289	 4289
cm	75	 4	 15	 3	 5	 48
cn	21	 1	 16	 1	0	 3
co	183783	 25902	 47032	 30125	 40679	 40045
cp	2	0	 1	0	0	 1
cq	2598	 177	 876	 700	 527	 318
cr	29925	 5618	 5437	 5653	 6599	 6618
cs	3344	 747	 674	 1080	 386	 457
ct	75229	 4825	 23989	 9628	 18736	 18051
cu	32629	 4400	 9116	 5273	 6207	 7633
cv	7	0	 7	0	0	0
cx	2	0	0	0	 2	0
cy	1147	 68	 308	 163	 132	 476
cz	22	0	0	 12	 1	 9
c{	1	0	0	0	0	 1
cœ	223	 30	0	0	 177	 16
c­	1	0	0	0	 1	0
c»	52	 1	 12	0	0	 39
cÏ	6	0	0	0	0	 6
cÔ	1	0	0	0	0	 1
cà	2	0	 2	0	0	0
câ	60	 15	 6	 20	 11	 8
cã	1	0	 1	0	0	0
cæ	7	 7	0	0	0	0
cè	3495	 472	 547	 900	 757	 819
cé	10517	 1168	 2991	 2245	 1823	 2290
cê	75	 7	0	 9	 30	 29
cì	1	0	0	0	0	 1
cí	10	0	 10	0	0	0
có	1	0	 1	0	0	0
cô	1754	 752	 145	 346	 182	 329
cû	1	 1	0	0	0	0
d 	22720	 5554	 3338	 5049	 4324	 4455
d!	3	0	 1	 1	 1	0
d"	18	0	0	 10	 2	 6
d%	1	0	0	 1	0	0
d'	87590	 11713	 22733	 15378	 19614	 18152
d(	1	0	 1	0	0	0
d)	204	 1	 45	 61	 29	 68
d*	2	0	0	0	0	 2
d,	3986	 1203	 384	 1207	 571	 621
d-	973	 141	 353	 222	 134	 123
d.	2685	 665	 160	 1330	 215	 315
d/	4	0	 3	0	 1	0
d1	1	0	 1	0	0	0
d2	1	0	0	 1	0	0
d3	1	0	0	0	0	 1
d:	5	0	 4	 1	0	0
d;	9	0	 6	 1	 2	0
d=	3	0	0	0	0	 3
d?	77	0	 75	 2	0	0
dB	3	0	 1	0	0	 2
dC	15	0	0	0	0	 15
dF	1	0	0	 1	0	0
dG	4	0	0	0	0	 4
dO	1	0	0	0	0	 1
dP	2	0	 2	0	0	0
dR	4	0	0	0	0	 4
dS	1	0	0	0	0	 1
d[	1	0	0	0	 1	0
d]	5	 1	0	 1	 2	 1
da	69841	 13180	 17150	 11276	 14856	 13379
db	48	 2	 6	 26	 5	 9
dc	20	 2	 6	 2	0	 10
dd	584	 36	 163	 211	 20	 154
de	462518	 67875	 120217	 82753	 99741	 91932
df	26	 1	 9	 6	 7	 3
dg	1230	 48	 639	 357	 96	 90
dh	896	 32	 203	 164	 271	 226
di	89906	 15733	 20008	 15843	 17523	 20799
dj	576	 42	 132	 304	 48	 50
dk	9	 1	0	 8	0	0
dl	127	 1	 14	 83	 4	 25
dm	3331	 377	 741	 557	 1212	 444
dn	84	 9	 6	 39	 6	 24
do	44414	 8199	 11654	 7025	 9606	 7930
dp	2	0	0	 2	0	0
dq	6	0	0	 1	0	 5
dr	29730	 5257	 8012	 5084	 6563	 4814
ds	7715	 2110	 1958	 1513	 1348	 786
dt	145	 43	 12	 50	 21	 19
du	85697	 9521	 25264	 14678	 19170	 17064
dv	453	 52	 7	 114	 74	 206
dw	101	 17	 8	 20	 33	 23
dx	2	0	0	0	0	 2
dy	1093	 436	 86	 162	 104	 305
dz	90	 32	 7	 41	0	 10
dœ	2	0	0	0	0	 2
d­	1	0	0	0	 1	0
d»	39	 1	 17	0	0	 21
dà	2	0	0	 2	0	0
dâ	23	 19	 1	 2	 1	0
dä	1	0	0	0	 1	0
dè	3636	 498	 617	 521	 908	 1092
dé	66267	 7844	 15629	 12995	 15656	 14143
dë	1	0	 1	0	0	0
dí	6	0	 6	0	0	0
dî	223	 212	0	 4	 5	 2
dô	34	 12	0	 9	 1	 12
dú	4	0	 4	0	0	0
dû	592	 111	 148	 161	 97	 75
e 	1224644	 215086	 272988	 214141	 271995	 250434
e!	53	0	 4	 23	 14	 12
e"	912	 1	0	 438	 126	 347
e'	133	 1	 3	 13	 1	 115
e(	54	 1	 20	0	 3	 30
e)	4168	 21	 919	 974	 747	 1507
e*	10	0	0	0	0	 10
e,	86794	 23346	 12267	 17190	 16773	 17218
e-	9992	 1892	 2848	 2560	 1157	 1535
e.	50144	 15949	 6031	 9668	 9103	 9393
e/	200	0	 62	 9	 37	 92
e1	4	0	0	0	0	 4
e2	2	0	0	 1	0	 1
e3	2	0	0	0	0	 2
e6	1	0	0	0	0	 1
e7	1	0	0	0	0	 1
e9	1	0	 1	0	0	0
e:	545	0	 459	 19	 12	 55
e;	434	0	 336	 37	 17	 44
e>	1	0	0	0	0	 1
e?	1943	0	 1841	 71	 22	 9
eB	1	0	0	0	0	 1
eC	2	0	0	0	0	 2
eG	1	0	 1	0	0	0
eL	11	0	0	0	0	 11
eM	3	0	 1	0	0	 2
eN	2	0	 1	0	0	 1
eP	6	0	0	0	0	 6
eT	1	0	0	0	0	 1
eV	30	 1	0	0	0	 29
eW	1	 1	0	0	0	0
e[	1	0	0	0	 1	0
e]	129	 10	 2	 18	 69	 30
ea	22031	 5555	 3794	 5184	 3718	 3780
eb	1332	 433	 192	 374	 124	 209
ec	65159	 7366	 18969	 10720	 14094	 14010
ed	4921	 1787	 570	 1263	 494	 807
ee	1050	 165	 195	 237	 137	 316
ef	14778	 1979	 3399	 2647	 3562	 3191
eg	6484	 3287	 793	 725	 599	 1080
eh	674	 175	 90	 167	 113	 129
ei	22042	 5923	 6062	 4451	 3102	 2504
ej	1014	 160	 176	 213	 269	 196
ek	461	 127	 123	 119	 14	 78
el	119399	 21566	 29360	 18384	 25070	 25019
em	126665	 17704	 36773	 22441	 25977	 23770
en	448923	 75325	 105916	 80523	 94833	 92326
eo	2806	 573	 696	 450	 838	 249
ep	23483	 3164	 5121	 4511	 5548	 5139
eq	1499	 191	 383	 193	 399	 333
er	236013	 41155	 52678	 47935	 47668	 46577
es	623463	 92999	 162218	 102060	 135829	 130357
et	178565	 35134	 45363	 28235	 35114	 34719
eu	144600	 32545	 26613	 26618	 31713	 27111
ev	18926	 5079	 3076	 4173	 3729	 2869
ew	700	 111	 73	 192	 107	 217
ex	35131	 3480	 8444	 5249	 8859	 9099
ey	1432	 235	 98	 433	 244	 422
ez	8533	 4510	 374	 1560	 993	 1096
e«	1	0	 1	0	0	0
e­	19	0	0	0	 19	0
e®	2	0	0	0	0	 2
e»	1882	 25	 637	0	0	 1220
eà	3	0	 2	0	0	 1
eâ	17	 14	0	0	 2	 1
eæ	6	 6	0	0	0	0
eç	1146	 258	 293	 234	 212	 149
eé	19	0	 18	 1	0	0
eë	1	 1	0	0	0	0
eî	2	0	0	 1	0	 1
eï	208	0	 8	 194	0	 6
eô	12	 7	0	 3	0	 2
eû	420	 347	 5	 30	 27	 11
eü	3	 2	0	0	0	 1
f 	7218	 765	 1549	 1371	 1514	 2019
f"	16	0	0	 13	 2	 1
f'	7	 2	0	 1	0	 4
f(	1	0	0	0	0	 1
f)	58	0	 15	 4	 5	 34
f,	1186	 205	 103	 285	 274	 319
f-	110	 42	 4	 25	 7	 32
f.	1103	 120	 63	 332	 181	 407
f/	2	0	 2	0	0	0
f:	6	0	 3	 2	0	 1
f;	1	0	 1	0	0	0
f=	1	0	0	0	0	 1
f?	20	0	 20	0	0	0
fR	3	0	0	0	0	 3
f]	6	0	0	0	 1	 5
f_	1	0	0	0	0	 1
fa	45239	 10124	 7474	 8876	 9802	 8963
fb	1	0	 1	0	0	0
fc	7	0	 1	 1	 2	 3
fd	2	0	0	 2	0	0
fe	22861	 5438	 4531	 4007	 4771	 4114
ff	30542	 4027	 6610	 5703	 7541	 6661
fg	43	0	 14	 26	0	 3
fi	50892	 6593	 13236	 8302	 12733	 10028
fj	8	0	0	 8	0	0
fk	8	0	 1	 4	0	 3
fl	7156	 2288	 853	 1297	 1350	 1368
fm	34	 1	 1	 21	0	 11
fn	47	 39	 1	 3	 2	 2
fo	45055	 6425	 10540	 6833	 10469	 10788
fp	5	0	0	0	 5	0
fq	2	0	 1	0	0	 1
fr	17473	 3712	 3147	 4040	 4227	 2347
fs	4927	 380	 1545	 779	 1060	 1163
ft	162	 35	 26	 21	 24	 56
fu	8654	 2836	 1003	 1438	 2103	 1274
fv	1	0	 1	0	0	0
fw	2	0	 2	0	0	0
fy	10	0	 2	0	 2	 6
fœ	5	0	0	0	 2	 3
f»	46	0	 10	0	0	 36
fà	1	0	0	0	0	 1
fâ	198	 162	 3	 20	 8	 5
fè	730	 92	 163	 93	 158	 224
fé	9766	 957	 2717	 1636	 1963	 2493
fê	258	 67	 6	 93	 50	 42
fí	1	0	 1	0	0	0
fî	22	 18	0	 1	 2	 1
fó	1	0	0	0	 1	0
fô	1	0	 1	0	0	0
fû	305	 193	 18	 38	 40	 16
fü	20	 3	 10	 1	 3	 3
g 	3215	 590	 642	 692	 347	 944
g"	8	0	0	 4	0	 4
g'	9	0	 2	 5	0	 2
g)	103	 1	 26	 17	 14	 45
g,	753	 176	 116	 238	 55	 168
g-	140	 33	 14	 60	 19	 14
g.	1223	 93	 43	 869	 21	 197
g/	38	0	 17	0	 10	 11
g0	1	0	0	0	0	 1
g2	5	0	0	0	0	 5
g:	5	0	 5	0	0	0
g;	1	0	 1	0	0	0
g?	8	0	 7	0	0	 1
gA	1	0	0	0	0	 1
gB	2	0	0	0	0	 2
gE	1	0	0	 1	0	0
gI	1	0	0	0	0	 1
gO	7	0	0	0	0	 7
g]	2	0	0	0	0	 2
ga	27793	 4638	 7319	 4678	 6112	 5046
gb	60	 3	 6	 49	 1	 1
gc	10	 2	0	0	 8	0
gd	140	 3	 6	 84	 1	 46
ge	55134	 12294	 10206	 10638	 11507	 10489
gf	6	 1	0	 3	 1	 1
gg	832	 41	 165	 233	 153	 240
gh	606	 68	 179	 167	 39	 153
gi	32064	 2349	 7795	 4282	 8826	 8812
gj	2	0	0	 1	0	 1
gk	37	 1	 2	 28	 2	 4
gl	9375	 1621	 2896	 1216	 2371	 1271
gm	2229	 191	 384	 372	 621	 661
gn	21247	 4918	 4279	 4160	 4122	 3768
go	9673	 1499	 2434	 2466	 1774	 1500
gp	12	0	0	 9	0	 3
gr	31646	 5513	 9360	 5823	 5792	 5158
gs	476	 151	 37	 130	 80	 78
gt	2436	 820	 123	 833	 358	 302
gu	18327	 3422	 2566	 3059	 3898	 5382
gv	1	0	0	 1	0	0
gw	23	 7	 6	 7	 1	 2
gy	359	 60	 67	 94	 37	 101
gz	10	 6	0	 3	0	 1
g­	1	0	0	0	 1	0
g»	25	 1	 5	0	0	 19
gâ	217	 64	 59	 54	 31	 9
gæ	5	 5	0	0	0	0
gè	2475	 473	 369	 432	 316	 885
gé	15153	 1669	 3741	 3053	 3672	 3018
gê	231	 145	 4	 48	 24	 10
gî	26	 15	 1	0	 9	 1
gô	1	0	0	0	0	 1
gü	13	 1	 8	0	 2	 2
h 	3024	 1240	 243	 680	 380	 481
h"	9	0	0	 4	 2	 3
h'	6	0	0	 2	0	 4
h)	62	0	 10	 11	 25	 16
h,	623	 99	 32	 260	 103	 129
h-	47	 1	 7	 27	 4	 8
h.	393	 67	 27	 89	 123	 87
h/	17	0	 4	0	 10	 3
h1	1	0	0	0	0	 1
h:	2	0	 2	0	0	0
h;	1	0	 1	0	0	0
h?	7	0	 6	 1	0	0
hW	1	0	0	0	0	 1
h]	1	0	0	0	0	 1
ha	34659	 9865	 6104	 7389	 5613	 5688
hb	7	0	 3	 4	0	0
hc	12	0	 3	 2	 1	 6
hd	27	0	 9	 13	0	 5
he	46088	 11927	 6857	 8298	 8646	 10360
hf	18	0	0	 17	0	 1
hg	1	0	0	0	0	 1
hh	22	 2	0	 7	 1	 12
hi	17940	 2633	 1957	 3574	 4781	 4995
hj	3	0	0	 2	0	 1
hk	31	0	0	 19	 8	 4
hl	516	 27	 149	 152	 32	 156
hm	726	 41	 182	 202	 60	 241
hn	4386	 42	 1083	 580	 1649	 1032
ho	22924	 5667	 3844	 3551	 4987	 4875
hp	1	0	 1	0	0	0
hr	3079	 337	 295	 577	 1206	 664
hs	171	 19	 12	 74	 39	 27
ht	628	 53	 276	 129	 40	 130
hu	6249	 1282	 952	 1703	 1299	 1013
hv	7	0	0	 2	0	 5
hw	108	 8	 6	 48	 31	 15
hy	4950	 1417	 677	 365	 964	 1527
hz	11	0	 1	 1	 3	 6
hœ	5	 1	0	0	 4	0
h­	1	0	0	0	 1	0
h»	5	0	0	0	0	 5
hâ	482	 268	 14	 103	 42	 55
hä	3	0	0	 2	 1	0
hæ	1	 1	0	0	0	0
hè	4903	 678	 595	 644	 1567	 1419
hé	17535	 3162	 2965	 2633	 3835	 4940
hê	69	 54	 6	 5	0	 4
hî	1	 1	0	0	0	0
hô	1262	 207	 303	 509	 66	 177
hö	4	0	 2	 1	 1	0
hû	2	0	0	0	0	 2
hü	1	0	0	 1	0	0
i 	97096	 23256	 16094	 19138	 19725	 18883
i!	7	0	0	 2	 3	 2
i"	41	0	0	 18	 11	 12
i'	2	0	 1	0	0	 1
i(	3	0	 2	0	0	 1
i)	241	 2	 58	 61	 49	 71
i,	11780	 3648	 1081	 3273	 1974	 1804
i-	3486	 722	 476	 753	 679	 856
i.	3385	 1627	 249	 639	 495	 375
i/	7	0	 5	0	 1	 1
i1	1	0	0	0	0	 1
i2	6	0	0	0	0	 6
i:	26	0	 20	 3	0	 3
i;	20	0	 14	 4	0	 2
i?	128	0	 110	 13	 3	 2
iA	2	0	0	0	0	 2
iC	1	0	0	0	0	 1
iG	2	0	0	0	 2	0
iI	2	0	 1	0	0	 1
iN	1	0	 1	0	0	0
iO	9	0	 2	0	0	 7
iS	2	0	0	0	0	 2
i]	17	0	0	 3	 10	 4
ia	35070	 3737	 7696	 6480	 8441	 8716
ib	19477	 2340	 4756	 3440	 4053	 4888
ic	69432	 5973	 18322	 11860	 17719	 15558
id	33546	 3855	 7794	 5949	 7871	 8077
ie	162686	 35257	 28591	 30912	 38249	 29677
if	34322	 2173	 8411	 4470	 10100	 9168
ig	29508	 5903	 5412	 5384	 7177	 5632
ih	175	 13	 50	 65	 10	 37
ii	234	 22	 14	 22	 138	 38
ij	263	 50	 80	 53	 29	 51
ik	498	 40	 116	 151	 32	 159
il	115398	 31214	 21358	 23039	 21717	 18070
im	43743	 5969	 10106	 7428	 9342	 10898
in	196310	 31517	 43437	 36478	 45740	 39138
io	206027	 9573	 79113	 27848	 45962	 43531
ip	13228	 1226	 2761	 2386	 3553	 3302
iq	67824	 4774	 14370	 8785	 17579	 22316
ir	113931	 19631	 29912	 21679	 20814	 21895
is	236849	 37383	 57820	 43247	 52538	 45861
it	239117	 53336	 49715	 39342	 51221	 45503
iu	1056	 154	 292	 143	 56	 411
iv	47918	 4741	 14197	 6998	 10856	 11126
iw	28	0	 11	 12	 1	 4
ix	8891	 1948	 1679	 2222	 2086	 956
iy	54	0	 12	 35	0	 7
iz	1407	 317	 210	 376	 187	 317
i»	89	 1	 24	0	0	 64
iÈ	3	0	0	0	 3	0
iß	5	0	0	0	0	 5
ià	1	0	 1	0	0	0
iá	9	0	 9	0	0	0
iâ	22	 13	0	 6	 2	 1
iæ	27	 27	0	0	0	0
iç	7	 1	 2	 4	0	0
iè	23311	 4153	 5800	 4307	 4933	 4118
ié	14961	 1478	 3338	 2642	 3694	 3809
iê	18	0	 18	0	0	0
ië	1	0	 1	0	0	0
iñ	1	0	0	0	0	 1
iò	1	0	 1	0	0	0
ió	23	0	 21	0	 1	 1
iô	12	0	0	0	 7	 5
j 	30	0	 4	 8	0	 18
j'	2056	 1140	 22	 377	 341	 176
j)	3	0	0	0	0	 3
j,	8	0	 1	 2	0	 5
j.	145	0	0	 145	0	0
j1	1	0	0	0	0	 1
ja	4670	 1484	 960	 1231	 503	 492
jc	2	0	0	 1	0	 1
jd	15	 1	 1	 8	0	 5
je	26946	 6084	 10003	 3363	 3419	 4077
jf	1	0	 1	0	0	0
jg	1	 1	0	0	0	0
ji	130	 7	 13	 71	 13	 26
jj	3	0	0	 2	0	 1
jk	37	0	 16	 2	0	 19
jl	9	0	 4	 5	0	0
jm	11	0	 3	 8	0	0
jn	28	 1	 4	 17	0	 6
jo	16300	 4235	 1799	 4203	 2795	 3268
jp	3	0	 2	 1	0	0
jr	5	0	0	 1	0	 4
js	41	0	 36	 2	0	 3
jt	4	0	 3	 1	0	0
ju	14616	 1945	 3628	 2620	 4379	 2044
jz	1	0	0	0	0	 1
j»	1	0	 1	0	0	0
jà	2685	 399	 740	 690	 453	 403
já	1	0	 1	0	0	0
jè	1	0	0	0	0	 1
jé	61	 8	0	 9	 41	 3
jí	1	0	 1	0	0	0
jî	1	0	0	0	0	 1
jó	4	0	 4	0	0	0
jô	5	 3	0	 1	0	 1
k 	1601	 171	 408	 631	 151	 240
k"	8	0	0	 5	0	 3
k'	4	0	0	 2	0	 2
k)	33	0	 11	 11	 4	 7
k,	566	 123	 105	 209	 43	 86
k-	101	 9	 21	 36	 21	 14
k.	167	 37	 21	 79	 15	 15
k/	1	0	0	0	0	 1
k:	4	0	 4	0	0	0
k;	3	0	 2	 1	0	0
k?	13	0	 12	 1	0	0
kB	4	0	0	0	0	 4
kH	5	0	0	0	0	 5
kV	3	0	0	0	 1	 2
kW	126	0	 10	0	 108	 8
k]	3	0	0	0	 3	0
ka	887	 73	 254	 296	 78	 186
kb	4	 1	0	 3	0	0
kc	3	 1	0	 2	0	0
kd	1	0	0	0	0	 1
ke	1485	 282	 154	 337	 164	 548
kf	9	 2	 2	 5	0	0
kg	98	 13	 29	 5	 33	 18
kh	317	 9	 66	 119	 73	 50
ki	2165	 317	 323	 640	 579	 306
kj	16	 8	 1	 7	0	0
kk	57	 22	 16	 8	0	 11
kl	140	 38	 26	 34	 12	 30
km	446	 3	 43	 19	 292	 89
kn	70	 18	 10	 8	 2	 32
ko	559	 42	 139	 233	 36	 109
kp	3	0	 1	 1	0	 1
kr	451	 4	 357	 53	 13	 24
ks	400	 19	 155	 130	 28	 68
kt	65	 6	 21	 17	 4	 17
ku	81	 14	 18	 28	 4	 17
kv	2	 1	0	 1	0	0
kw	9	0	 1	 1	0	 7
kx	6	0	0	 4	0	 2
ky	208	 4	 53	 96	 7	 48
kz	4	 4	0	0	0	0
k­	2	0	0	0	 2	0
k»	13	 1	 9	0	0	 3
kä	9	0	 9	0	0	0
kæ	2	0	 2	0	0	0
kè	5	0	0	0	0	 5
ké	63	 13	 23	 10	0	 17
kó	1	0	 1	0	0	0
kô	12	0	0	0	0	 12
kö	1	0	 1	0	0	0
kü	1	0	0	0	 1	0
l 	88622	 22794	 16429	 16992	 17990	 14417
l!	4	0	0	 3	0	 1
l"	79	0	0	 36	 9	 34
l#	1	0	0	0	0	 1
l%	4	0	0	0	 4	0
l'	113195	 14457	 28041	 19261	 26869	 24567
l(	3	0	 1	0	0	 2
l)	419	 1	 126	 87	 94	 111
l+	1	0	0	0	0	 1
l,	8391	 2410	 1263	 1883	 1467	 1368
l-	500	 117	 41	 163	 72	 107
l.	5349	 1656	 891	 1141	 829	 832
l/	41	0	 7	 10	 4	 20
l0	1	0	0	0	0	 1
l2	2	0	0	0	0	 2
l3	1	0	0	0	0	 1
l4	1	0	0	0	0	 1
l5	2	0	0	0	0	 2
l6	1	0	0	0	0	 1
l7	1	0	 1	0	0	0
l9	14	0	0	0	0	 14
l:	34	0	 28	 2	 2	 2
l;	52	0	 47	 2	0	 3
l=	1	0	0	0	0	 1
l?	159	0	 152	 4	 2	 1
lA	5	0	0	0	 5	0
lB	13	0	 1	 1	 1	 10
lC	5	0	0	0	 2	 3
lM	2	0	0	0	0	 2
lO	3	0	0	0	0	 3
lP	5	0	0	0	 1	 4
lR	4	0	0	0	 4	0
lT	1	0	0	0	 1	0
l]	28	0	0	 1	 7	 20
l`	3	0	0	0	0	 3
la	235792	 39268	 64623	 39040	 48187	 44674
lb	853	 257	 141	 251	 85	 119
lc	1322	 291	 246	 255	 213	 317
ld	1293	 292	 180	 430	 149	 242
le	423358	 81524	 99163	 73697	 86677	 82297
lf	755	 79	 180	 233	 119	 144
lg	2564	 346	 722	 584	 518	 394
lh	577	 178	 57	 175	 106	 61
li	122571	 11908	 27303	 22230	 32646	 28484
lj	31	 18	 2	 5	0	 6
